kode_provinsi,nama_provinsi,kode_kabkota,nama_kabkota,tahun,angka_melek_huruf
11,"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2005,98.39
11,"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2006,99.3
11,"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2007,99.28
11,"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2008,99.68
11,"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2009,100
11,"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2005,96.21
11,"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2006,95.9
11,"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2007,97.56
11,"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2008,98.65
11,"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2009,100
11,"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2005,99.49
11,"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2006,98.81
11,"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2007,98.55
11,"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2008,99.24
11,"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2009,100
11,"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2005,97.75
11,"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2006,98.7
11,"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2007,98.44
11,"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2008,99.52
11,"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2009,100
11,"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2005,99.44
11,"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2006,99.56
11,"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2007,99.11
11,"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2008,100
11,"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2009,100
11,"Prov. Nanggroe Aceh Darussalam",1106,"Kab. Aceh Tengah",2005,99.76
11,"Prov. Nanggroe Aceh Darussalam",1106,"Kab. Aceh Tengah",2006,99.54
11,"Prov. Nanggroe Aceh Darussalam",1106,"Kab. Aceh Tengah",2007,99.57
11,"Prov. Nanggroe Aceh Darussalam",1106,"Kab. Aceh Tengah",2008,98.76
11,"Prov. Nanggroe Aceh Darussalam",1106,"Kab. Aceh Tengah",2009,100
11,"Prov. Nanggroe Aceh Darussalam",1107,"Kab. Aceh Barat",2005,99.16
11,"Prov. Nanggroe Aceh Darussalam",1107,"Kab. Aceh Barat",2006,95.89
11,"Prov. Nanggroe Aceh Darussalam",1107,"Kab. Aceh Barat",2007,98.41
11,"Prov. Nanggroe Aceh Darussalam",1107,"Kab. Aceh Barat",2008,99.33
11,"Prov. Nanggroe Aceh Darussalam",1107,"Kab. Aceh Barat",2009,100
11,"Prov. Nanggroe Aceh Darussalam",1108,"Kab. Aceh Besar",2005,98.75
11,"Prov. Nanggroe Aceh Darussalam",1108,"Kab. Aceh Besar",2006,98.53
11,"Prov. Nanggroe Aceh Darussalam",1108,"Kab. Aceh Besar",2007,99.52
11,"Prov. Nanggroe Aceh Darussalam",1108,"Kab. Aceh Besar",2008,100
11,"Prov. Nanggroe Aceh Darussalam",1108,"Kab. Aceh Besar",2009,100
11,"Prov. Nanggroe Aceh Darussalam",1109,"Kab. Pidie",2005,99.22
11,"Prov. Nanggroe Aceh Darussalam",1109,"Kab. Pidie",2006,98.74
11,"Prov. Nanggroe Aceh Darussalam",1109,"Kab. Pidie",2007,99.51
11,"Prov. Nanggroe Aceh Darussalam",1109,"Kab. Pidie",2008,99.52
11,"Prov. Nanggroe Aceh Darussalam",1109,"Kab. Pidie",2009,98.92
11,"Prov. Nanggroe Aceh Darussalam",1110,"Kab. Bireuen",2005,99.23
11,"Prov. Nanggroe Aceh Darussalam",1110,"Kab. Bireuen",2006,99.8
11,"Prov. Nanggroe Aceh Darussalam",1110,"Kab. Bireuen",2007,98.89
11,"Prov. Nanggroe Aceh Darussalam",1110,"Kab. Bireuen",2008,100
11,"Prov. Nanggroe Aceh Darussalam",1110,"Kab. Bireuen",2009,100
11,"Prov. Nanggroe Aceh Darussalam",1111,"Kab. Aceh Utara",2005,99.74
11,"Prov. Nanggroe Aceh Darussalam",1111,"Kab. Aceh Utara",2006,98.81
11,"Prov. Nanggroe Aceh Darussalam",1111,"Kab. Aceh Utara",2007,99.09
11,"Prov. Nanggroe Aceh Darussalam",1111,"Kab. Aceh Utara",2008,100
11,"Prov. Nanggroe Aceh Darussalam",1111,"Kab. Aceh Utara",2009,99.22
11,"Prov. Nanggroe Aceh Darussalam",1112,"Kab. Aceh Barat Daya",2005,97.62
11,"Prov. Nanggroe Aceh Darussalam",1112,"Kab. Aceh Barat Daya",2006,97.27
11,"Prov. Nanggroe Aceh Darussalam",1112,"Kab. Aceh Barat Daya",2007,97.19
11,"Prov. Nanggroe Aceh Darussalam",1112,"Kab. Aceh Barat Daya",2008,99.77
11,"Prov. Nanggroe Aceh Darussalam",1112,"Kab. Aceh Barat Daya",2009,100
11,"Prov. Nanggroe Aceh Darussalam",1113,"Kab. Gayo Lues",2005,93.08
11,"Prov. Nanggroe Aceh Darussalam",1113,"Kab. Gayo Lues",2006,96.01
11,"Prov. Nanggroe Aceh Darussalam",1113,"Kab. Gayo Lues",2007,94.43
11,"Prov. Nanggroe Aceh Darussalam",1113,"Kab. Gayo Lues",2008,97.09
11,"Prov. Nanggroe Aceh Darussalam",1113,"Kab. Gayo Lues",2009,100
11,"Prov. Nanggroe Aceh Darussalam",1114,"Kab. Aceh Tamiang",2005,99.29
11,"Prov. Nanggroe Aceh Darussalam",1114,"Kab. Aceh Tamiang",2006,99.03
11,"Prov. Nanggroe Aceh Darussalam",1114,"Kab. Aceh Tamiang",2007,99.62
11,"Prov. Nanggroe Aceh Darussalam",1114,"Kab. Aceh Tamiang",2008,100
11,"Prov. Nanggroe Aceh Darussalam",1114,"Kab. Aceh Tamiang",2009,100
11,"Prov. Nanggroe Aceh Darussalam",1115,"Kab. Nagan Raya",2005,95.86
11,"Prov. Nanggroe Aceh Darussalam",1115,"Kab. Nagan Raya",2006,97.35
11,"Prov. Nanggroe Aceh Darussalam",1115,"Kab. Nagan Raya",2007,97.7
11,"Prov. Nanggroe Aceh Darussalam",1115,"Kab. Nagan Raya",2008,100
11,"Prov. Nanggroe Aceh Darussalam",1115,"Kab. Nagan Raya",2009,100
11,"Prov. Nanggroe Aceh Darussalam",1116,"Kab. Aceh Jaya",2005,98.53
11,"Prov. Nanggroe Aceh Darussalam",1116,"Kab. Aceh Jaya",2006,98.93
11,"Prov. Nanggroe Aceh Darussalam",1116,"Kab. Aceh Jaya",2007,98.12
11,"Prov. Nanggroe Aceh Darussalam",1116,"Kab. Aceh Jaya",2008,99.1
11,"Prov. Nanggroe Aceh Darussalam",1116,"Kab. Aceh Jaya",2009,100
